,id,gender,season,age,tripletsOfMonths,commonRed,commonGreen,commonBlue
0,15970,Men,Fall,2,4,254,254,90
1,39386,Men,Summer,2,3,40,53,59
2,59263,Women,Winter,2,1,234,234,234
3,21379,Men,Fall,2,4,50,50,52
4,53759,Men,Summer,2,3,0,0,0
5,1855,Men,Summer,2,3,199,195,213
6,30805,Men,Summer,2,3,105,120,103
7,26960,Women,Summer,2,3,254,254,254
8,29114,Men,Summer,2,3,14,14,14
9,30039,Men,Winter,2,1,17,16,21
10,9204,Men,Summer,2,3,37,37,37
11,48123,Women,Summer,2,3,9,9,9
12,18653,Men,Fall,2,4,47,47,46
13,47957,Women,Summer,2,3,254,254,254
14,46885,Boys,Fall,1,4,254,254,254
15,12369,Men,Fall,2,4,94,57,75
16,29928,Men,Winter,2,1,63,61,60
17,42419,Girls,Summer,1,3,227,226,225
18,51832,Women,Summer,2,3,254,210,187
19,47359,Women,Summer,2,3,113,79,52
20,17429,Men,Winter,2,1,0,0,0
21,12967,Men,Fall,2,4,38,38,25
22,6842,Unisex,Summer,0,3,222,178,128
23,13089,Men,Fall,2,4,217,218,221
24,18461,Men,Spring,2,2,253,253,253
25,9036,Men,Winter,2,1,254,254,254
26,48311,Women,Winter,2,1,162,162,163
27,7990,Men,Fall,2,4,58,58,68
28,56019,Women,Spring,2,2,232,41,25
29,21977,Women,Winter,2,1,7,7,9
30,37812,Men,Summer,2,3,32,0,72
31,4729,Boys,Summer,1,3,0,196,119
32,56825,Men,Summer,2,3,0,0,0
33,39988,Men,Winter,2,1,239,239,239
34,59051,Women,Winter,2,1,254,254,254
35,20099,Women,Fall,2,4,254,213,96
36,58183,Women,Summer,2,3,235,235,231
37,29742,Women,Summer,2,3,0,113,119
38,51658,Women,Winter,2,1,241,241,241
39,3954,Women,Summer,2,3,254,31,30
40,18839,Men,Fall,2,4,37,37,37
41,2886,Women,Winter,2,1,223,220,213
42,23278,Men,Winter,2,1,254,254,219
43,28690,Women,Summer,2,3,223,211,197
44,8580,Men,Fall,2,4,253,246,254
45,3168,Men,Fall,2,4,241,243,254
46,18005,Men,Summer,2,3,39,48,45
47,17871,Men,Winter,2,1,96,27,52
48,9452,Men,Fall,2,4,254,254,254
49,38402,Women,Summer,2,3,45,45,46
50,44984,Women,Winter,2,1,44,209,48
51,10268,Men,Fall,2,4,65,65,71
52,45856,Women,Summer,2,3,78,55,43
53,32138,Men,Summer,2,3,202,165,131
54,59435,Men,Summer,2,3,254,254,254
55,5891,Men,Summer,2,3,248,248,248
56,38630,Women,Summer,2,3,189,139,218
57,4943,Men,Summer,2,3,91,230,237
58,11188,Men,Winter,2,1,0,0,0
59,10866,Men,Fall,2,4,199,36,33
60,59607,Women,Fall,2,4,254,254,254
61,15528,Men,Fall,2,4,39,44,45
62,45258,Men,Winter,2,1,0,0,0
63,42841,Women,Summer,2,3,204,174,145
64,22198,Men,Fall,2,4,45,45,47
65,29570,Men,Summer,2,3,27,26,254
66,43993,Women,Spring,2,2,252,250,253
67,6628,Men,Summer,2,3,254,254,254
68,54924,Men,Summer,2,3,222,177,152
69,26538,Men,Fall,2,4,117,31,41
70,35913,Women,Summer,2,3,243,243,243
71,49495,Men,Summer,2,3,147,136,121
72,9660,Men,Fall,2,4,30,23,49
73,2288,Women,Fall,2,4,26,26,28
74,23876,Men,Fall,2,4,156,216,253
75,18237,Men,Fall,2,4,254,95,105
